width	length	x	Vmax 
6.120000 0.980000 0.234400 0.677157 numThread:%!d(MISSING) 
7.770000 9.100000 1.392800 43.836284 numThread:%!d(MISSING) 
7.230000 1.350000 0.320300 1.497249 numThread:%!d(MISSING) 
2.860000 9.030000 0.649400 7.838225 numThread:%!d(MISSING) 
3.000000 3.650000 0.546300 2.664843 numThread:%!d(MISSING) 
5.970000 8.110000 1.133400 24.525119 numThread:%!d(MISSING) 
7.750000 7.750000 1.291700 34.480324 numThread:%!d(MISSING) 
2.090000 6.710000 0.475500 3.119043 numThread:%!d(MISSING) 
9.970000 5.890000 1.196400 31.703384 numThread:%!d(MISSING) 
0.490000 7.620000 0.120500 0.221403 numThread:%!d(MISSING) 
7.990000 6.580000 1.197200 28.039553 numThread:%!d(MISSING) 
4.840000 8.500000 0.992500 18.460823 numThread:%!d(MISSING) 
2.050000 6.800000 0.468000 3.057208 numThread:%!d(MISSING) 
5.070000 3.310000 0.653600 4.925618 numThread:%!d(MISSING) 
8.080000 6.860000 1.232600 30.415543 numThread:%!d(MISSING) 
4.380000 9.000000 0.930800 16.733314 numThread:%!d(MISSING) 
8.860000 9.970000 1.561000 61.337659 numThread:%!d(MISSING) 
5.550000 7.450000 1.049200 19.380384 numThread:%!d(MISSING) 
9.650000 1.810000 0.429300 3.590724 numThread:%!d(MISSING) 
6.170000 5.320000 0.949700 13.873231 numThread:%!d(MISSING) 
6.180000 2.790000 0.601600 4.750947 numThread:%!d(MISSING) 
0.650000 2.430000 0.150200 0.111825 numThread:%!d(MISSING) 
2.020000 5.560000 0.450900 2.348648 numThread:%!d(MISSING) 
1.190000 3.880000 0.271200 0.586180 numThread:%!d(MISSING) 
6.700000 2.990000 0.646100 5.932079 numThread:%!d(MISSING) 
8.870000 8.150000 1.414500 45.467916 numThread:%!d(MISSING) 
3.920000 7.300000 0.815400 10.582206 numThread:%!d(MISSING) 
2.040000 5.430000 0.453200 2.323988 numThread:%!d(MISSING) 
3.750000 6.500000 0.766400 8.440575 numThread:%!d(MISSING) 
6.500000 6.840000 1.110600 21.948701 numThread:%!d(MISSING) 
1.910000 2.040000 0.328600 0.569257 numThread:%!d(MISSING) 
8.120000 4.040000 0.854600 12.769683 numThread:%!d(MISSING) 
0.350000 2.410000 0.084100 0.034276 numThread:%!d(MISSING) 
5.320000 2.410000 0.519300 3.049076 numThread:%!d(MISSING) 
9.930000 8.340000 1.505300 55.509820 numThread:%!d(MISSING) 
0.990000 1.380000 0.189600 0.115900 numThread:%!d(MISSING) 
5.910000 2.520000 0.548900 3.756623 numThread:%!d(MISSING) 
7.030000 9.170000 1.315100 37.840440 numThread:%!d(MISSING) 
7.990000 5.820000 1.109000 23.056935 numThread:%!d(MISSING) 
1.980000 4.030000 0.420000 1.527372 numThread:%!d(MISSING) 
3.870000 5.180000 0.730800 6.544602 numThread:%!d(MISSING) 
0.040000 0.200000 0.009400 0.000036 numThread:%!d(MISSING) 
2.210000 3.090000 0.423800 1.294728 numThread:%!d(MISSING) 
6.460000 5.020000 0.934300 13.518702 numThread:%!d(MISSING) 
4.730000 5.570000 0.849800 9.967185 numThread:%!d(MISSING) 
8.290000 7.190000 1.280300 33.958273 numThread:%!d(MISSING) 
8.570000 7.870000 1.366300 40.974051 numThread:%!d(MISSING) 
1.860000 2.250000 0.337900 0.629902 numThread:%!d(MISSING) 
0.480000 0.590000 0.087800 0.011075 numThread:%!d(MISSING) 
6.800000 6.280000 1.087400 20.646867 numThread:%!d(MISSING) 
7.670000 4.640000 0.936500 15.021740 numThread:%!d(MISSING) 
