width	length	x	Vmax 
2.570000 9.110000 0.590800 6.503403
0.540000 2.860000 0.128000 0.094661
2.100000 0.400000 0.094800 0.038105
1.890000 0.700000 0.155800 0.095513
5.990000 3.680000 0.739600 7.342282
9.160000 7.370000 1.353500 40.727274
1.250000 7.070000 0.297500 1.261735
1.200000 3.400000 0.268900 0.509659
9.150000 9.820000 1.577900 63.031658
9.180000 5.990000 1.182900 29.212926
4.520000 3.790000 0.684500 5.221757
5.790000 9.810000 1.176400 30.153353
9.300000 6.930000 1.309900 37.715948
9.040000 4.160000 0.893800 15.378360
7.630000 9.420000 1.397500 44.764545
9.170000 9.180000 1.529200 57.211609
0.280000 0.590000 0.059800 0.004512
6.100000 1.460000 0.340500 1.437387
7.520000 5.860000 1.089500 21.419811
2.560000 7.160000 0.572700 4.872677
1.230000 7.570000 0.294000 1.317839
6.090000 1.320000 0.310200 1.186990
2.530000 7.510000 0.570300 5.046952
0.030000 6.380000 0.007500 0.000716
5.250000 4.710000 0.826300 9.088218
5.910000 4.760000 0.873800 10.956415
8.450000 8.880000 1.442800 48.124939
8.840000 1.020000 0.247200 1.084330
2.090000 5.780000 0.466800 2.616123
1.270000 2.630000 0.270300 0.411939
7.720000 2.870000 0.638600 6.553372
8.660000 2.040000 0.476400 3.991883
5.870000 6.340000 1.015200 16.798657
7.200000 2.740000 0.607600 5.544729
4.850000 7.600000 0.964200 15.976935
6.980000 5.710000 1.041700 18.498519
0.640000 0.150000 0.035000 0.001596
3.020000 5.730000 0.630900 4.956344
3.420000 0.220000 0.054100 0.020031
3.980000 0.060000 0.014900 0.001778
1.870000 4.360000 0.406900 1.524043
4.210000 7.490000 0.866100 12.356369
6.000000 9.310000 1.189300 29.853062
3.890000 4.410000 0.687600 5.247705
5.660000 8.070000 1.092500 22.342035
1.000000 1.280000 0.185700 0.106062
9.940000 3.690000 0.821200 13.952324
6.310000 0.130000 0.032300 0.013193
6.290000 1.060000 0.252900 0.810697
5.170000 2.490000 0.530300 3.114970
3.380000 3.390000 0.564200 2.873030
8.050000 4.440000 0.917700 14.854394
0.150000 0.730000 0.035400 0.001848
8.470000 0.610000 0.149700 0.379907
9.320000 7.680000 1.397000 44.544792
5.210000 4.350000 0.787100 7.943613
7.230000 4.810000 0.944300 14.735203
9.980000 0.500000 0.123400 0.304113
0.130000 8.400000 0.032400 0.017608
8.560000 3.800000 0.821900 12.256757
2.140000 0.950000 0.205500 0.191512
9.560000 4.550000 0.971300 19.291581
1.830000 4.160000 0.396400 1.384411
1.960000 8.460000 0.458300 3.607180
6.040000 2.070000 0.465600 2.708815
6.600000 5.730000 1.019900 17.162928
1.610000 4.300000 0.357900 1.147067
8.400000 3.080000 0.686600 8.234629
9.330000 1.210000 0.292000 1.598699
3.510000 3.780000 0.606300 3.576166
0.050000 8.530000 0.012500 0.002658
3.920000 8.810000 0.847500 13.416667
2.430000 4.620000 0.507900 2.588797
6.810000 7.720000 1.203700 28.153644
1.080000 0.650000 0.131400 0.041578
2.430000 2.790000 0.431900 1.302962
